,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
28,2016,1,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",2136.0,430.0,126.8,16.41,163.8,0.13,122.87,176.0,3.0,21966.0,6787.0,1367.0,6893.0,2.0,6917.0
29,2016,1,AA,American Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",631.0,108.0,59.52,2.89,18.04,0.0,27.54,37.0,0.0,5710.0,2861.0,254.0,562.0,0.0,2033.0
30,2016,1,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2524.0,426.0,137.76,14.21,160.23,1.29,112.51,249.0,4.0,17905.0,5904.0,837.0,4957.0,68.0,6139.0
31,2016,1,AA,American Airlines Inc.,RIC,"Richmond, VA: Richmond International",182.0,25.0,10.99,0.0,6.3,0.0,7.7,18.0,0.0,1050.0,515.0,0.0,178.0,0.0,357.0
32,2016,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",833.0,138.0,65.61,5.94,31.79,0.0,34.67,21.0,0.0,7025.0,3799.0,322.0,847.0,0.0,2057.0
33,2016,1,AA,American Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",26.0,4.0,0.74,0.0,0.0,0.0,3.26,0.0,0.0,161.0,33.0,0.0,0.0,0.0,128.0
34,2016,1,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",8130.0,1099.0,311.66,48.46,398.66,5.11,335.11,548.0,7.0,59807.0,20284.0,9608.0,12127.0,115.0,17673.0
35,2016,1,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",127.0,15.0,10.95,0.0,0.33,0.0,3.73,1.0,0.0,658.0,475.0,0.0,16.0,0.0,167.0
36,2016,1,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",718.0,112.0,58.8,3.47,17.06,0.46,32.21,9.0,1.0,5859.0,3124.0,277.0,522.0,23.0,1913.0
37,2016,1,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",432.0,71.0,39.54,0.0,14.67,0.11,16.68,17.0,1.0,2864.0,1805.0,0.0,404.0,2.0,653.0
38,2016,1,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",78.0,14.0,7.6,0.55,0.31,0.0,5.54,1.0,0.0,832.0,401.0,35.0,8.0,0.0,388.0
39,2016,1,AA,American Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",271.0,40.0,15.65,0.84,9.78,0.0,13.73,1.0,0.0,1532.0,737.0,53.0,220.0,0.0,522.0
40,2016,1,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",675.0,126.0,47.13,4.0,45.28,0.33,29.25,60.0,2.0,6504.0,2742.0,132.0,1473.0,11.0,2146.0
41,2016,1,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",216.0,45.0,16.86,1.62,12.56,0.0,13.96,22.0,2.0,2039.0,917.0,68.0,450.0,0.0,604.0
42,2016,1,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",75.0,38.0,9.14,0.06,25.2,0.04,3.56,0.0,0.0,1574.0,524.0,1.0,817.0,1.0,231.0
43,2016,1,AA,American Airlines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",585.0,152.0,65.35,7.48,46.03,0.0,33.14,16.0,1.0,8684.0,4853.0,475.0,1491.0,0.0,1865.0
44,2016,1,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",148.0,25.0,14.55,1.0,3.8,0.0,5.66,1.0,0.0,934.0,601.0,48.0,84.0,0.0,201.0
45,2016,1,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",160.0,24.0,10.08,0.94,6.87,0.0,6.1,8.0,0.0,1033.0,470.0,33.0,169.0,0.0,361.0
46,2016,1,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",328.0,43.0,23.61,0.32,9.43,0.0,9.64,12.0,0.0,2219.0,1356.0,38.0,301.0,0.0,524.0
47,2016,1,AA,American Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",429.0,82.0,39.85,0.46,19.67,0.0,22.02,8.0,3.0,3689.0,1949.0,52.0,587.0,0.0,1101.0
48,2016,1,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",478.0,52.0,25.85,0.9,6.09,0.0,19.15,4.0,0.0,2765.0,1390.0,47.0,276.0,0.0,1052.0
49,2016,1,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",444.0,64.0,30.05,1.1,7.73,0.0,25.12,9.0,0.0,3107.0,1380.0,94.0,200.0,0.0,1433.0
50,2016,1,AA,American Airlines Inc.,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",39.0,5.0,0.45,2.0,0.88,0.0,1.67,0.0,0.0,405.0,17.0,180.0,33.0,0.0,175.0
51,2016,1,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",336.0,59.0,27.78,0.0,17.6,0.0,13.62,6.0,0.0,2567.0,1342.0,0.0,513.0,0.0,712.0
52,2016,1,AA,American Airlines Inc.,PDX,"Portland, OR: Portland International",273.0,34.0,12.98,3.13,6.75,0.0,11.15,3.0,1.0,1751.0,757.0,114.0,171.0,0.0,709.0
53,2016,1,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",460.0,77.0,31.52,1.08,17.3,1.08,26.02,44.0,0.0,3919.0,2056.0,39.0,518.0,57.0,1249.0
54,2016,1,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",737.0,119.0,46.78,8.42,26.98,0.89,35.92,13.0,0.0,5496.0,2283.0,600.0,781.0,30.0,1802.0
55,2016,1,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",142.0,16.0,5.08,0.0,4.96,0.0,5.96,1.0,1.0,867.0,396.0,0.0,114.0,0.0,357.0
56,2016,1,AA,American Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",214.0,32.0,15.18,1.0,4.37,0.0,11.44,0.0,1.0,1411.0,695.0,65.0,167.0,0.0,484.0
57,2016,1,AA,American Airlines Inc.,ONT,"Ontario, CA: Ontario International",208.0,26.0,9.64,0.0,5.26,0.0,11.11,0.0,0.0,1184.0,441.0,0.0,122.0,0.0,621.0
58,2016,1,AA,American Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",482.0,88.0,31.2,4.18,29.38,0.0,23.24,16.0,4.0,3824.0,1400.0,215.0,887.0,0.0,1322.0
59,2016,1,AA,American Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",175.0,29.0,9.82,0.45,5.52,1.75,11.45,1.0,0.0,1067.0,439.0,9.0,123.0,44.0,452.0
60,2016,1,AA,American Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",140.0,16.0,7.01,0.0,3.25,0.04,5.71,0.0,0.0,554.0,236.0,0.0,77.0,1.0,240.0
61,2016,1,AA,American Airlines Inc.,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",88.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,29.0,0.0,0.0,0.0,54.0
62,2016,1,AA,American Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",143.0,20.0,9.41,2.27,3.72,0.0,4.6,1.0,1.0,941.0,443.0,95.0,71.0,0.0,332.0
63,2016,1,AA,American Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",174.0,24.0,14.36,0.0,3.36,0.27,6.0,1.0,0.0,1214.0,752.0,0.0,87.0,9.0,366.0
64,2016,1,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",212.0,33.0,16.11,3.59,8.57,0.0,4.73,5.0,2.0,3478.0,1680.0,947.0,243.0,0.0,608.0
65,2016,1,AA,American Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",511.0,116.0,36.11,1.04,52.31,0.0,26.54,24.0,1.0,5486.0,2093.0,49.0,1934.0,0.0,1410.0
66,2016,1,AA,American Airlines Inc.,SDF,"Louisville, KY: Louisville International-Standiford Field",27.0,4.0,3.05,0.0,0.21,0.0,0.74,0.0,0.0,354.0,314.0,0.0,9.0,0.0,31.0
67,2016,1,AA,American Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",472.0,59.0,31.32,1.15,15.34,0.0,11.19,17.0,0.0,3179.0,1948.0,65.0,462.0,0.0,704.0
68,2016,1,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",84.0,12.0,7.69,0.0,2.45,0.32,1.54,0.0,1.0,565.0,443.0,0.0,63.0,11.0,48.0
69,2016,1,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",53.0,9.0,4.81,0.17,3.29,0.0,0.74,0.0,0.0,328.0,247.0,4.0,65.0,0.0,12.0
70,2016,1,AA,American Airlines Inc.,STX,"Christiansted, VI: Henry E. Rohlsen",58.0,19.0,9.32,1.93,3.78,0.0,3.97,0.0,0.0,1168.0,353.0,310.0,168.0,0.0,337.0
71,2016,1,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",94.0,14.0,7.29,0.59,1.24,0.0,4.89,0.0,0.0,647.0,429.0,20.0,40.0,0.0,158.0
72,2016,1,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",199.0,34.0,16.72,0.0,11.13,0.0,6.15,0.0,0.0,1334.0,756.0,0.0,297.0,0.0,281.0
73,2016,1,AA,American Airlines Inc.,MTJ,"Montrose/Delta, CO: Montrose Regional",36.0,5.0,2.81,0.89,0.27,0.0,1.03,0.0,0.0,308.0,104.0,47.0,9.0,0.0,148.0
74,2016,1,AA,American Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",40.0,8.0,2.1,0.0,1.68,0.0,4.22,0.0,0.0,352.0,106.0,0.0,59.0,0.0,187.0
75,2016,1,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",239.0,40.0,17.96,0.0,7.68,0.35,14.01,9.0,0.0,1507.0,683.0,0.0,200.0,7.0,617.0
76,2016,1,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International",139.0,15.0,7.4,0.0,3.18,0.0,4.42,2.0,0.0,584.0,316.0,0.0,95.0,0.0,173.0
77,2016,1,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",201.0,31.0,16.75,0.0,6.2,0.0,8.05,4.0,0.0,1406.0,839.0,0.0,161.0,0.0,406.0
78,2016,1,AA,American Airlines Inc.,HOU,"Houston, TX: William P Hobby",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2016,1,AA,American Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",62.0,7.0,1.13,0.0,0.64,0.0,5.24,0.0,0.0,307.0,87.0,0.0,30.0,0.0,190.0
80,2016,1,AA,American Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",62.0,18.0,9.01,0.0,3.65,1.0,4.34,0.0,0.0,820.0,452.0,0.0,96.0,15.0,257.0
81,2016,1,AA,American Airlines Inc.,GEG,"Spokane, WA: Spokane International",35.0,6.0,2.48,0.0,2.0,0.0,1.52,0.0,0.0,405.0,297.0,0.0,41.0,0.0,67.0
82,2016,1,AA,American Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",31.0,3.0,1.0,0.0,1.0,0.48,0.52,0.0,1.0,93.0,52.0,0.0,18.0,11.0,12.0
83,2016,1,AA,American Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",103.0,14.0,9.64,0.75,1.23,0.0,2.39,5.0,0.0,1286.0,971.0,50.0,34.0,0.0,231.0
84,2016,1,AA,American Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",51.0,9.0,4.39,0.0,2.48,0.05,2.07,2.0,0.0,333.0,150.0,0.0,88.0,3.0,92.0
85,2016,1,AA,American Airlines Inc.,ALB,"Albany, NY: Albany International",81.0,12.0,7.3,0.0,3.6,0.0,1.1,5.0,0.0,703.0,521.0,0.0,137.0,0.0,45.0
86,2016,1,AA,American Airlines Inc.,PVD,"Providence, RI: Theodore Francis Green State",118.0,12.0,4.83,0.0,4.81,0.0,2.36,7.0,0.0,548.0,337.0,0.0,112.0,0.0,99.0
87,2016,1,AA,American Airlines Inc.,ROC,"Rochester, NY: Greater Rochester International",57.0,11.0,7.56,0.0,1.8,0.0,1.64,2.0,0.0,567.0,441.0,0.0,50.0,0.0,76.0
88,2016,1,AA,American Airlines Inc.,ILM,"Wilmington, NC: Wilmington International",62.0,11.0,5.39,0.0,1.8,0.0,3.81,3.0,0.0,597.0,404.0,0.0,68.0,0.0,125.0
89,2016,1,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",28.0,3.0,1.74,0.0,0.26,0.0,1.0,0.0,0.0,97.0,71.0,0.0,7.0,0.0,19.0
90,2016,1,AA,American Airlines Inc.,PWM,"Portland, ME: Portland International Jetport",30.0,3.0,1.88,0.0,0.0,0.0,1.12,2.0,0.0,242.0,135.0,0.0,0.0,0.0,107.0
91,2016,1,AA,American Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",46.0,10.0,6.71,0.0,2.82,0.0,0.48,3.0,0.0,443.0,342.0,0.0,88.0,0.0,13.0
92,2016,1,AA,American Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",49.0,12.0,7.0,0.0,2.16,0.0,2.84,3.0,0.0,578.0,399.0,0.0,92.0,0.0,87.0
93,2016,1,AA,American Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International",29.0,7.0,3.52,0.0,2.06,0.0,1.43,2.0,0.0,258.0,137.0,0.0,70.0,0.0,51.0
94,2016,1,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2016,1,AS,Alaska Airlines Inc.,PDX,"Portland, OR: Portland International",1174.0,128.0,28.12,1.03,28.46,2.91,67.48,14.0,2.0,8051.0,2271.0,40.0,728.0,118.0,4894.0
96,2016,1,AS,Alaska Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",268.0,74.0,12.12,5.09,53.62,0.0,3.17,0.0,3.0,2649.0,553.0,416.0,1538.0,0.0,142.0
97,2016,1,AS,Alaska Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",156.0,18.0,7.97,0.0,4.87,0.0,5.16,0.0,0.0,842.0,263.0,0.0,115.0,0.0,464.0
98,2016,1,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",4444.0,449.0,95.46,18.88,163.05,2.33,169.29,46.0,6.0,22790.0,6277.0,1554.0,4829.0,73.0,10057.0
99,2016,1,AS,Alaska Airlines Inc.,KOA,"Kona, HI: Kona International Airport at Keahole",161.0,41.0,11.19,0.85,26.33,0.0,2.63,0.0,5.0,1341.0,493.0,37.0,671.0,0.0,140.0
100,2016,1,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",448.0,51.0,19.34,0.76,18.13,0.0,12.78,3.0,2.0,2872.0,1410.0,67.0,552.0,0.0,843.0
101,2016,1,AS,Alaska Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",222.0,61.0,7.42,3.77,45.26,0.29,4.25,1.0,2.0,2230.0,365.0,99.0,1284.0,15.0,467.0
102,2016,1,AS,Alaska Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",124.0,36.0,7.28,4.55,24.17,0.0,0.0,0.0,2.0,1206.0,288.0,235.0,683.0,0.0,0.0
103,2016,1,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",367.0,35.0,11.24,0.09,6.62,0.0,17.05,0.0,0.0,2050.0,778.0,13.0,346.0,0.0,913.0
104,2016,1,AS,Alaska Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",169.0,21.0,4.88,0.18,8.57,0.0,7.37,0.0,1.0,838.0,256.0,4.0,212.0,0.0,366.0
105,2016,1,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1043.0,64.0,25.59,1.46,11.19,1.88,23.89,12.0,0.0,3441.0,1168.0,46.0,321.0,80.0,1826.0
106,2016,1,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",124.0,14.0,1.79,0.61,8.97,0.0,2.63,12.0,1.0,593.0,126.0,63.0,320.0,0.0,84.0
107,2016,1,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",739.0,101.0,21.95,2.03,65.27,0.0,11.75,6.0,0.0,4311.0,1137.0,139.0,2262.0,0.0,773.0
108,2016,1,AS,Alaska Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2016,1,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",64.0,11.0,5.42,0.0,4.13,0.0,1.45,0.0,0.0,651.0,499.0,0.0,98.0,0.0,54.0
110,2016,1,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",62.0,7.0,1.31,0.0,4.76,0.0,0.93,4.0,0.0,262.0,52.0,0.0,131.0,0.0,79.0
111,2016,1,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",116.0,14.0,6.55,0.0,7.06,0.0,0.39,0.0,0.0,421.0,226.0,0.0,188.0,0.0,7.0
